,perusahaan,alamat,telepon,email,status,persentase,estimasi bulan,sektor_usaha,group/retail,trainer
0,Tribakti Inspektama,"853 Massey Centers Suite 197
Alexanderhaven, TX 94845",+1-386-300-0969,donaldsonjon@example.com,Closing,100,Januari,finansial,retail,IM
1,Bank Bukopin Syariah,"730 Lee Parkways Suite 920
Harperton, WI 43462",911.699.4329x719,zeaton@example.com,Closing,100,Januari,industri,retail,External
2,Bank Bukopin Syariah,"677 Ramos Bypass Apt. 201
Jefferyhaven, NC 42211",001-659-305-3662,james79@example.com,Closing,100,Januari,finansial,group,IM
3,Kementrian Agama,"0260 Wright Summit Suite 162
Kelseyborough, LA 74273",920.771.6429x74717,vweiss@example.org,Closing,100,Januari,perbankan,group,IM
4,M3kom,"3532 Ibarra Road Apt. 760
Port Sheenamouth, RI 67154",(445)632-1619x91773,dgonzalez@example.org,Closing,100,Januari,finansial,group,IM
5,Artha Asia Finance,"330 Xavier Row Apt. 301
Carolland, KY 00732",(434)688-9834x19532,randy71@example.org,Closing,100,Januari,jasa,group,IM
6,Bank Mega,"USNS Yates
FPO AP 31757",857.618.3076x29249,cfitzgerald@example.com,Closing,100,Februari,finansial,retail,DP/BN
7,BPRS HIK Cibitung,"661 Amy Spur
Lake Ashleyside, GA 90802",860-527-7390x29162,aaron99@example.org,Closing,100,Februari,perdagangan,retail,Ext
8,SK Consulting,"65361 Roberts Ferry Apt. 256
Port Andrewberg, CA 81428",(918)885-3556x90992,adamserin@example.net,Closing,100,Februari,pariwisata,retail,AL
9,TACO,"84409 Simmons Ramp Suite 440
Lake Kimview, AL 61873",001-874-375-1181,williamgomez@example.com,Closing,100,Januari,perbankan,group,AL & BN
10,Jasaraharja Lampung,"512 Michael Lake
South Clayton, DE 15716",001-931-628-0584x5958,igonzales@example.net,Closing,100,Januari,pariwisata,retail,AL/BN
11,MPM Finance,"3965 Sara Meadows
Archerland, AS 11639",764.290.6294,markmalone@example.com,Closing,100,Januari,perbankan,retail,Ext
12,Bank Of China,"723 Neil Trafficway Apt. 825
Millerside, DC 64564",205.518.0453x1398,terririchardson@example.com,Closing,100,Januari,finansial,group,AL
13,Kereta Cepat Indonesia China (KCIC),"771 Lisa Course Apt. 896
North Justin, LA 23730",(481)935-4404x980,amberconner@example.com,Closing,100,Februari,jasa,retail,Ext
14,CSUL,"429 Matthews Port Suite 802
New James, OK 59571",(539)909-0780x000,garciaangela@example.com,Closing,100,Februari,perdagangan,retail,Ext
15,BPRS Dhinar Asri,"41386 Amanda Tunnel Apt. 538
North Jason, NY 40728",948-348-2823,underwoodcraig@example.com,Closing,100,Februari,jasa,group,Ext/AL
16,Indonesia  Teijin Dupont,"03750 Johnson Crest Apt. 551
West Jaredland, NJ 95555",740-667-3818x056,schwartznina@example.com,Closing,100,Februari,perdagangan,group,Ext
17,Hyundai Motors Indonesia,"249 Erik Crossroad Suite 294
West Lauraborough, WA 39321",(751)997-0078x64272,gomezjustin@example.org,Closing,100,Februari,jasa,retail,BN/AL/IM
18,Indowire Prima Industrindo,"3502 Lopez Spring
New Mark, AK 82626",499-729-7358x6808,villarrealkimberly@example.net,Closing,100,Februari,pariwisata,group,Ext
19,Indowire Prima Industrindo,"Unit 9078 Box 6235
DPO AE 52722",794-827-4868x8172,tinaross@example.org,Closing,100,Februari,industri,retail,Ext
20,Hutama Karya Infrastruktur,"319 Carter Port Apt. 363
Port Roberttown, WI 93585",+1-772-790-1760x9625,spencegeorge@example.net,Closing,100,Februari,pertambangan,retail,Ext
21,Bank Of CHina,"091 Martin Burg
Andrewbury, AK 41696",001-323-213-3361,juliawest@example.com,Closing,100,Februari,teknologi,retail,Ext
22,MPM Finance,"Unit 1446 Box 1506
DPO AP 98289",(896)503-6675x372,gabrielaflores@example.org,Closing,100,Februari,pertambangan,retail,Ext
23,Bank Sumut,"754 Fisher Tunnel Suite 995
Michelleberg, ND 10393",402-567-3391,wcampbell@example.net,Closing,100,Februari,pariwisata,retail,BN/AL/IM
24,Frisan Flag Indonesia,"PSC 4664, Box 5702
APO AP 61674",4057308681,tanya45@example.net,Closing,100,Februari,finansial,group,HH
25,BI Institute,"6921 Pitts Drive Apt. 599
Lawsontown, IN 21565",+1-577-779-2151,bonnienguyen@example.org,Closing,100,Februari,jasa,group,Ext & BN
26,BPRS HIK Cibitung ,"54863 Olsen Roads Suite 711
East Jasonmouth, SC 21038",(364)512-3215,troyperry@example.org,Closing,100,Februari,perbankan,group,"AL, Ext, BN/IM"
27,Bank Fama International,"0170 Roberts Wall Apt. 859
West Anthonyland, VA 65777",001-541-947-6493x85656,alexandria76@example.net,Closing,100,Februari,pertambangan,group,BN/DP
28,ACA,"8189 Jasmine Park
Perkinsside, IN 13122",+1-607-401-2790x49343,stephanie41@example.com,Closing,100,Februari,perbankan,group,AL/BN/IM
29,Kobexindo,"40112 Linda Plains Apt. 587
Granttown, PR 52593",442.988.6421,newmanchristopher@example.org,Closing,100,Februari,teknologi,retail,AL
30,Medion,"384 Jennifer Ford Suite 727
Port Andreachester, SD 94423",407-283-2115x34497,ramirezshelby@example.net,Closing,100,Februari,perdagangan,retail,NT
31,HK Metals Utama,"9540 Nicholas Drive
New Tracyberg, ND 24150",655-506-4864x0230,hansenkara@example.net,Closing,100,Februari,perbankan,retail,BN/AL/IM
32,Sharp Electronics,"6746 Douglas Dale
Calderonville, AL 61273",284-428-6008x21596,jenningsdouglas@example.com,Closing,100,Januari,jasa,group,BN/AL/IM
33,Bank BTN ,"094 Kathleen Ramp
New Darrellmouth, ID 61427",001-243-247-6309x4504,ukelly@example.com,Closing,100,Februari,perbankan,retail,AL/BN/IM
34,Campina Ice Cream,"8422 Montgomery Mews Apt. 653
Jonathonburgh, MD 70916",001-527-747-7145x9261,edwardsjenna@example.net,Closing,100,Akhir Semester 1 atau Semester 2 ,finansial,retail,AL/BN/IM
35,Bank BTN ,"9205 Campbell Lodge Apt. 543
Aliciaburgh, NE 59328",001-917-674-8048x96825,dchan@example.net,Closing,100,Semester 1,jasa,retail,BN/DP
36,Bank BTN ,"921 Brenda Crossing Apt. 269
North Patrick, OK 05315",001-686-266-2599,rgregory@example.org,Closing,100,Semester 1,pertambangan,retail,BN/DP
37,Indospring ,"0086 Ronald Road
Reginaldview, NC 87685",+1-707-232-4851x01124,wisescott@example.net,Closing,100,2021-02-01 00:00:00,pariwisata,group,AL
38,Keb Hana,"6255 Gonzalez Valley Apt. 165
Navarroland, UT 41510",+1-532-316-3818x88659,austinricky@example.org,Closing,100,Akhir Feb,perbankan,retail,FD/DP
39,Syncrum Logistic,"9085 Carr Camp Suite 972
Kathrynport, AR 59470",789-232-5911x75599,morganwalker@example.com,Closing,100,Feb/Maret,pariwisata,retail,FD/DP
40,BI Babel,"4562 Peterson Park
Vasquezchester, FL 84655",(474)718-3039x5970,christopherfleming@example.com,Closing,100,Q 1 - 2021,jasa,group,NT
41,BI Purwokerto,"555 Bruce Square
West Amanda, UT 51754",6885958270,ecallahan@example.net,Closing,100,Q 1 - 2021,jasa,group,HH
42,Artha Prima Finance,"41920 Thornton Station
Port Stacey, VT 26164",821.526.5996,david51@example.net,Closing,100,Q 1 - 2021,finansial,retail,Ext
43,Asuransi Raksa Pratikara,"86069 Nelson Glens
New John, HI 22752",367.798.5788,hortonstuart@example.net,Closing,100,Q 1 - 2021,pertambangan,group,Ext
44,Pro Car International Finance,"303 Michelle Rest Apt. 709
Garretthaven, MH 23873",225.497.1613,michelle33@example.org,Closing,100,Q 1 - 2021,teknologi,retail,"Ext, BN, AL"
45,BPRS Dhinar Asri,"2927 Kendra Crest
Prestonshire, OH 74323",+1-399-278-9008,kristen24@example.com,Closing,100,Februari 2021,teknologi,retail,BN/AL/IM
46,BTM Muhammadiyah,"Unit 8569 Box 1045
DPO AP 33185",(451)559-0635,xwood@example.net,Closing,100,Q 1 - 2021,industri,group,BN/AL/IM
47,Palyja,"723 Nancy Plains Apt. 466
South Jim, SC 07042",925.348.4642,nicholasgarcia@example.com,Closing,100,Q 1 - 2021,jasa,group,BN/AL/IM
48,BPRS Amanah Ummah,"7684 Cheryl Meadows
Jeffreytown, TN 33515",662-505-4345,fbell@example.org,Closing,100,Q 1 - 2021,pariwisata,retail,BN/AL/IM
49,BPD Papua,"53334 Martin Hill Suite 423
Amandamouth, PR 46245",001-752-811-5755x01751,longharold@example.org,Closing,100,Semester 1 & 2- 2021,perbankan,group,BN/AL/IM/ ext
50,BPD Papua,"PSC 0602, Box 2062
APO AA 11523",988-830-8886,katrinawilliams@example.net,Closing,100,Semester 1 & 2- 2021,perdagangan,retail,Ext
51,BPD SULUT GO,"98858 Joshua Groves
West Hectorton, VA 26761",4646447501,williamsjay@example.org,Closing,100,Februari minggu ke 3 ,pertambangan,retail,Ext
52,Hyundai Motors Indonesia,"9480 Berry Parkways Suite 587
West Shanefort, NC 37745",6672460782,hebertchristian@example.org,Closing,100,Feb Minggu ke 4,teknologi,retail,AL
53,Hino Motor Sales Indonesia,"303 Deborah Roads
Timothyhaven, AS 79791",(846)810-0928,karen61@example.org,Closing,100,2021-02-01 00:00:00,industri,group,AL
54,Mitsubishi Chemica Indonesia,"91046 Michelle Mission
Port Ryanview, MT 84351",(561)403-3263x4412,leahmitchell@example.org,Closing,100,11-15 Februari,perbankan,group,AL/BN/IM
55,Futaba,"16800 Andrew Knolls Apt. 306
Port Shelley, VA 62075",+1-519-530-9799x811,nathan69@example.com,Closing,100,Q 1 - 2021,industri,retail,BN//AL/IM
56,Sarana  Multi Infrastruktur (SMI),"94876 Garcia Corner Apt. 464
Conleyfort, NV 11279",898.554.7095x473,nrodriguez@example.net,Closing,100,Q 1 - 2021,perbankan,group,NT
57,Asuransi Cigna,"8610 Black Common Suite 394
East Tina, PW 39964",(705)392-2208,snyderjoshua@example.com,Closing,100,Q 1 - 2021,perbankan,retail,BN//AL/IM
58,Futaba,"65478 Stewart Overpass
South Laurie, VT 90888",758-970-2956x695,george65@example.com,Closing,100,Q1 2021,pariwisata,group,AL
59,Pama Persada,"04111 Joanna Gateway Apt. 232
Port Belindaview, MT 70721",(787)463-0773,kellyclinton@example.org,Closing,100,Q1 2021,pariwisata,retail,AL/BN/IM
60,Mizuho Balimore Finance,"809 Smith Points Apt. 224
Andreaborough, ID 36486",+1-978-831-4641,mathislisa@example.net,Closing,100,Q 1 - 2021,industri,retail,"DP,BN"
61,Assa Rent,"20950 Dalton Row Suite 651
Port Rachelborough, MD 13808",6124968027,parkertony@example.org,Closing,100,Q 1 - 2021,pariwisata,group,External
62,BPD Kaltim,"922 John Flat
Port Christine, MA 94061",682-836-7632,iolson@example.com,Closing,100,Q 1 - 2021,pariwisata,group,"DP,BN"
63,BPRS Buana Mitra Perwira – Purbalingga,"5085 Robert Plain Apt. 279
New Meganton, VI 16953",+1-999-947-5651x61781,michelerogers@example.net,Closing,100,Q 1 - 2021,perbankan,retail,BN/AL
64,BPD Kaltim,"893 Brown Tunnel Suite 485
Johnhaven, MD 93441",475-774-6464x236,mpeck@example.org,Closing,100,2021-02-01 00:00:00,pertambangan,retail,BN/AL/ External
65,Bank Syariah Patriot,"267 Brown Square Suite 461
South Josephside, ND 74151",001-277-804-5270,roger98@example.com,Closing,100,Januari 2021,jasa,group,BN/DP
66,Kospin Jasa,"0703 Wise Lock
East Rachel, WV 20034",485.791.2682x59472,maysarah@example.net,Closing,100,Akhir januari,teknologi,retail,External
67,Surveyor Indonesia,"USNV Wagner
FPO AP 93844",001-533-316-8139x0050,keith78@example.org,Closing,100,Maret 2021,jasa,retail,HH
68,BPRS Rahma Syariah,"248 Warren Curve
Kristinemouth, SD 83259",835.588.3361x2752,rowens@example.com,Closing,100,2021-02-01 00:00:00,perdagangan,group,DP
69,SK Consulting,"USS Copeland
FPO AP 26053",5554351905,vmiranda@example.net,Closing,100,6 Februari 2021,pertambangan,retail,AL
70,TACO,"USS Lopez
FPO AE 08974",001-581-556-0428x89944,betty01@example.com,Closing,100,2021-02-18 00:00:00,industri,retail,AL
71,TACO,"PSC 1732, Box 8816
APO AP 08698",001-490-780-3354x252,csmith@example.net,Closing,100,2021-02-11 00:00:00,teknologi,retail,BN
72,TACO,"76114 Williams Mall
Whitneystad, WV 89784",+1-468-353-0653x822,margaretwhite@example.org,Closing,100,2021-02-25 00:00:00,jasa,retail,BN
73,Hutama Karya Infrastruktur,"5835 Deborah Run
Lindseymouth, WA 78418",+1-649-399-2745x9900,ohoffman@example.net,Closing,100,9-10 Feb 21,pariwisata,retail,Extrnal (Martoyo)
